SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
80,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261245
81,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261246
82,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261243
83,230672,1.51E+14,2303295,SCR94091710115  ,15M1000261241
84,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261242
85,230672,1.51E+14,2303295,SCR94091710115  ,15M1000261240
86,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261244
87,230672,4.71E+14,23F01057,ER55020120351   ,47B0000443353
88,230672,4.71E+14,23F01057,ER55020120351   ,47B0000443352
89,230672,4.71E+14,23F01059,ER55020120351   ,47B0000443397
90,230672,4.71E+14,23F01059,ER55020120351   ,47B0000443393
