SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
240,230672,4.51E+14,23E00947,SECR57140324077 ,45B0045934346
241,230672,4.51E+14,23F01070,SECR57140324077 ,45B0045933114
242,230672,4.51E+14,23E00947,SECR57140324077 ,45B0045933483
243,230672,4.51E+14,23F01070,SECR57140324077 ,45B0045933022
244,230672,4.51E+14,23E00947,SECR57140324077 ,45B0045934062
245,230672,4.51E+14,23F01070,SECR57140324077 ,45B0045933118
246,230672,1.51E+14,2303291,SECR94141217724 ,15M2000230018
247,230672,1.51E+14,2303291,SECR94141217724 ,15M2000230019
248,230672,1.51E+14,2303283,SECR94141217724 ,15M1000261165
249,230672,1.51E+14,2303247,SECR94141217724 ,15M2000230022
250,230672,1.51E+14,2303291,SECR94141217724 ,15M2000230016
251,230672,1.51E+14,2303291,SECR94141217724 ,15M2000230017
252,230672,1.51E+14,2303289,SECR94141217724 ,15M1000261159
253,230672,1.51E+14,2303289,SECR94141217724 ,15M1000261158
254,230672,1.51E+14,2303289,SECR94141217724 ,15M1000261160
255,230672,4.51E+14,23E00996,SER94071359136  ,45B0046013093
256,230672,4.51E+14,23E00996,SER94071359136  ,45B0046013333
257,230672,4.51E+14,23D00971,SER94071359136  ,45B0046013439
258,230672,4.51E+14,23D00971,SER94071359136  ,45B0046013438
259,230672,4.51E+14,23E00996,SER94071359136  ,45B0046013172
260,230672,4.51E+14,23E00996,SER94071359136  ,45B0046012777
261,230672,4.51E+14,23E00996,SER94071359136  ,45B0046013209
262,230672,4.51E+14,,SER94071359136  ,45B0046013253
263,230672,4.51E+14,23D00971,SER94071359136  ,45B0046013656
264,230672,4.51E+14,23D00971,SER94071359136  ,45B0046013676
265,230672,4.51E+14,23D00971,SER94071359136  ,45B0046013901
266,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261215
267,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261210
268,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261212
269,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261211
270,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261208
271,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261209
272,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261206
273,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261214
274,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261207
275,230672,1.51E+14,2303249,SECR94141218226 ,15M1000261213
276,230672,1.51E+14,2301940,SER94072310327  ,15M2000229546
277,230672,1.51E+14,2301940,SER94072310327  ,15M2000229550
278,230672,1.51E+14,2303183,SER94072310327  ,15M2000229538
279,230672,1.51E+14,2301940,SER94072310327  ,15M2000229548
280,230672,1.51E+14,,SER94072310327  ,15M2000229547
281,230672,1.51E+14,2303183,SER94072310327  ,15M2000229535
282,230672,1.51E+14,2302485,SER94072310327  ,15M2000229531
283,230672,1.51E+14,2303183,SER94072310327  ,15M2000229540
284,230672,1.51E+14,2303183,SER94072310327  ,15M2000229532
285,230672,1.51E+14,2302550,SER94072310327  ,15M2000229517
286,230672,1.51E+14,2303183,SER94072310327  ,15M2000229534
287,230672,4.71E+14,23D00888,ER55020160470   ,47B0000444198
288,230672,4.71E+14,23D00920,ER55020160470   ,47B0000444195
289,230672,1.51E+14,2301985,SER94071576359  ,15M2000229522
290,230672,1.51E+14,2303183,SER94071576359  ,15M2000229533
291,230672,1.51E+14,2301985,SER94071576359  ,15M2000229519
292,230672,1.51E+14,2303183,SER94071576359  ,15M2000229537
293,230672,1.51E+14,2303291,SER94072310501  ,15M2000230013
294,230672,1.51E+14,2303264,SER94072310501  ,15M1000260957
295,230672,1.51E+14,2303247,SER94072310501  ,15M2000230021
296,230672,1.51E+14,2303264,SER94072310501  ,15M1000260958
297,230672,1.51E+14,2303291,SER94072310501  ,15M2000230015
