Mat Code,Wagon No,Group
2.099714850862028,1,1
2.099714850862028,1,1
1.0,1,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
2.119353120994238,2,2
1.0,2,2
1.0,2,2
1.0,2,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,3
1.0,3,3
2.1389913911264484,3,3
1.0,3,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,4
2.0,4,4
2.0,4,4
2.158629661258659,4,4
2.158629661258659,4,4
2.0,5,4
2.0,5,4
2.198665951120553,5,4
2.0,5,4
2.0,5,4
2.1782679313908693,5,5
2.0,5,5
2.0,5,5
2.0,5,5
2.0,5,5
1.0,6,5
1.0,6,5
2.2183042212527635,6,5
1.0,6,5
1.0,6,5
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,7,6
1.0,7,6
2.237942491384974,7,6
1.0,7,6
1.0,7,7
1.0,7,7
1.0,7,7
1.0,7,7
1.0,7,7
1.0,7,7
2.0,8,7
2.0,8,7
2.2575807615171843,8,7
2.0,8,7
2.0,8,8
2.2371827417875,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.0,9,8
2.2772190316493943,9,8
2.0,9,8
2.0,9,8
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
2.2968573017816047,10,9
1.0,10,9
2.2968573017816047,10,9
1.0,10,9
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,11,10
1.0,11,10
1.0,11,10
1.0,11,10
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
2.0,12,11
2.0,12,11
2.0,12,11
2.0,12,11
2.0,12,12
2.0,12,12
2.0,12,12
2.0,12,12
2.3157358223163413,12,12
2.0,12,12
2.0,12,12
1.0,13,12
1.0,13,12
1.0,13,12
1.0,13,13
2.3353740924485518,13,13
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
2.3353740924485518,13,13
1.0,13,13
2.0,14,13
2.0,14,13
2.0,14,14
2.3550123625807617,14,14
2.0,14,14
2.0,14,14
2.0,14,14
1.0,15,14
1.0,15,14
1.0,15,14
1.0,15,14
1.0,15,14
2.374650632712972,15,15
1.0,15,15
2.374650632712972,15,15
2.374650632712972,15,15
1.0,15,15
1.0,15,15
1.0,1,15
1.8141425746464508,1,15
1.0,1,15
1.0,1,15
1.0,1,16
1.0,1,16
1.0,1,16
3.0,16,16
3.0,16,16
3.0,16,16
3.0,16,16
3.0,16,16
3.0,16,16
3.0,16,16
3.0,16,17
2.3738908831154983,16,17
3.0,16,17
3.0,16,17
3.0,16,17
2.4139271729773926,17,17
2.4139271729773926,17,17
2.4139271729773926,17,17
2.0,17,17
2.0,17,17
2.0,17,18
2.0,17,18
2.0,17,18
2.0,17,18
2.0,17,18
2.0,17,18
4.0,18,18
4.0,18,18
4.0,18,18
4.0,18,18
4.0,18,19
4.0,18,19
4.0,18,19
5.0,19,19
5.0,19,19
5.0,19,19
5.0,19,19
5.0,19,19
6.0,20,19
6.0,20,19
6.0,20,20
6.0,20,20
2.472841983374024,20,20
6.0,20,20
2.472841983374024,20,20
6.0,20,20
6.0,20,20
3.0,21,20
3.0,21,20
3.0,21,20
2.492480253506234,21,21
3.0,21,21
3.0,21,21
3.0,21,21
