Mat Code,Wagon No,Group
3.0,NCR94131363325  ,22
5.0,NR94031810400   ,22
5.0,NR94031810400   ,22
,NR94031810400   ,22
5.0,NR94031810400   ,22
5.0,NR94031810400   ,22
5.0,NR94031810400   ,22
5.0,NR94031810400   ,22
5.0,NR94031810400   ,23
,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
5.0,NR94031810400   ,23
7.0,SECR57140324077 ,23
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,24
7.0,SECR57140324077 ,25
,SECR57140324077 ,25
7.0,SECR57140324077 ,25
7.0,SECR57140324077 ,25
7.0,SECR57140324077 ,25
2.0,SECR94141217724 ,25
2.0,SECR94141217724 ,25
2.0,SECR94141217724 ,25
2.0,SECR94141217724 ,25
2.0,SECR94141217724 ,25
2.0,SECR94141217724 ,26
2.0,SECR94141217724 ,26
,SECR94141217724 ,26
2.0,SECR94141217724 ,26
5.0,SER94071359136  ,26
5.0,SER94071359136  ,26
5.0,SER94071359136  ,26
,SER94071359136  ,26
5.0,SER94071359136  ,26
5.0,SER94071359136  ,26
5.0,SER94071359136  ,27
5.0,SER94071359136  ,27
5.0,SER94071359136  ,27
5.0,SER94071359136  ,27
5.0,SER94071359136  ,27
2.0,SECR94141218226 ,27
2.0,SECR94141218226 ,27
2.0,SECR94141218226 ,27
2.0,SECR94141218226 ,27
2.0,SECR94141218226 ,27
2.0,SECR94141218226 ,28
2.0,SECR94141218226 ,28
2.0,SECR94141218226 ,28
2.0,SECR94141218226 ,28
2.0,SECR94141218226 ,28
,SER94072310327  ,28
2.0,SER94072310327  ,28
2.0,SER94072310327  ,28
2.0,SER94072310327  ,28
2.0,SER94072310327  ,28
2.0,SER94072310327  ,29
,SER94072310327  ,29
,SER94072310327  ,29
2.0,SER94072310327  ,29
,SER94072310327  ,29
2.0,SER94072310327  ,29
6.0,ER55020160470   ,29
6.0,ER55020160470   ,29
2.0,SER94071576359  ,29
2.0,SER94071576359  ,29
2.0,SER94071576359  ,30
2.0,SER94071576359  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,30
2.0,SER94072310501  ,31
2.0,SER94072310501  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
1.0,SER94072310495  ,31
,SER94072310495  ,31
1.0,SER94072310495  ,32
1.0,SER94072310495  ,32
1.0,SER94072310495  ,32
2.0,SER94072310518  ,32
,SER94072310518  ,32
2.0,SER94072310518  ,32
2.0,SER94072310518  ,32
2.0,SER94072310518  ,32
2.0,SER94072310518  ,32
2.0,SER94072310518  ,32
,SER94072310518  ,33
,SER94072310518  ,33
,SER94072310518  ,33
6.0,SER94072310570  ,33
,SER94072310570  ,33
6.0,SER94072310570  ,33
6.0,SER94072310570  ,33
6.0,SER94072310570  ,33
6.0,SER94072310570  ,33
6.0,SER94072310570  ,33
6.0,SER94072310570  ,34
6.0,SER94072310570  ,34
,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,34
2.0,SER94072310549  ,35
,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,35
2.0,SER94072310563  ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,36
3.0,ER94021329387   ,37
3.0,ER94021329387   ,37
3.0,ER94021329387   ,37
3.0,ER94021329387   ,37
,ER94021329387   ,37
,ER94021329387   ,37
3.0,ER94021329387   ,37
3.0,ER94021329387   ,37
5.0,ER94022110809   ,37
5.0,ER94022110809   ,37
5.0,ER94022110809   ,38
5.0,ER94022110809   ,38
5.0,ER94022110809   ,38
5.0,ER94022110809   ,38
5.0,ER94022110809   ,38
5.0,ER94022110809   ,38
,ER94022110809   ,38
5.0,ER94022110809   ,38
,ER94022110809   ,38
5.0,ER94022110809   ,38
5.0,ER94022110809   ,39
5.0,ER94022110809   ,39
,ER94022110809   ,39
,ER94022110809   ,39
3.0,SER55070063691  ,39
3.0,SER55070063691  ,39
,SER55070063691  ,39
,SER55070063691  ,39
3.0,SER55070063691  ,39
2.0,SECR94141217724 ,39
2.0,SECR94141217724 ,40
,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,40
,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,40
2.0,NR94031711264   ,41
,NR94031711264   ,41
,ER94022110878   ,41
2.0,ER94022110878   ,41
2.0,ER94022110878   ,41
,ER94022110878   ,41
2.0,ER94022110878   ,41
2.0,ER94022110878   ,41
2.0,ER94022110878   ,41
,ER94022110878   ,41
2.0,ER94022110878   ,42
