Mat Code,Wagon No,Group
1.0,1,1
1.0,1,1
1.0,1,1
2.5024271844660193,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,2
1.0,2,2
1.0,2,2
1.0,2,2
2.5024271844660193,3,2
1.0,3,2
2.5024271844660193,3,2
1.0,3,2
1.0,3,2
1.0,3,2
2.5024271844660193,3,3
1.0,3,3
1.0,3,3
1.0,3,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.5024271844660193,4,3
2.0,4,3
2.0,4,4
2.0,4,4
2.0,4,4
2.0,4,4
2.0,4,4
2.0,5,4
2.0,5,4
2.5024271844660193,5,4
2.0,5,4
2.0,5,4
2.0,5,5
2.5024271844660193,5,5
2.0,5,5
2.0,5,5
2.0,5,5
1.0,6,5
2.5024271844660193,6,5
1.0,6,5
2.5024271844660193,6,5
2.5024271844660193,6,5
1.0,6,6
2.5024271844660193,6,6
2.5024271844660193,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,7,6
1.0,7,6
1.0,7,6
1.0,7,6
1.0,7,7
1.0,7,7
1.0,7,7
1.0,7,7
2.5024271844660193,7,7
1.0,7,7
2.5024271844660193,8,7
2.0,8,7
2.0,8,7
2.0,8,7
2.0,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.5024271844660193,8,8
2.0,8,8
2.0,9,8
2.0,9,8
2.0,9,8
2.5024271844660193,9,8
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
2.0,9,9
1.0,10,9
1.0,10,9
1.0,10,9
1.0,10,9
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
2.5024271844660193,10,10
1.0,10,10
2.5024271844660193,11,10
1.0,11,10
1.0,11,10
1.0,11,10
1.0,11,11
1.0,11,11
2.5024271844660193,11,11
1.0,11,11
1.0,11,11
1.0,11,11
2.0,12,11
2.0,12,11
2.0,12,11
2.0,12,11
2.5024271844660193,12,12
2.0,12,12
2.0,12,12
2.5024271844660193,12,12
