SNO,Mat Code,Heat No,Wagon No
318.0,0,25,35
319.0,0,25,35
320.0,0,65,35
321.0,0,8,35
322.0,4,25,35
323.0,0,8,35
324.0,3,55,40
325.0,3,64,40
326.0,3,38,40
327.0,3,32,40
328.0,3,64,40
329.0,3,64,40
330.0,4,38,40
331.0,3,64,40
332.0,3,38,40
333.0,0,5,38
334.0,0,1,38
335.0,0,65,38
336.0,0,1,38
337.0,0,1,38
338.0,0,5,38
339.0,0,4,38
340.0,0,4,38
341.0,0,4,38
342.0,4,15,39
343.0,0,0,39
344.0,0,3,39
345.0,0,3,39
346.0,4,0,39
347.0,0,15,39
348.0,0,0,39
349.0,0,0,39
350.0,0,9,39
351.0,0,0,39
352.0,2,63,5
353.0,2,63,5
354.0,2,57,5
355.0,2,63,5
356.0,4,63,5
357.0,2,63,5
358.0,2,63,5
359.0,2,65,5
360.0,2,63,5
361.0,4,63,5
362.0,2,63,5
363.0,2,63,5
364.0,2,65,5
365.0,2,63,5
366.0,2,63,5
367.0,4,63,5
368.0,2,63,5
369.0,2,40,6
370.0,4,40,6
371.0,2,40,6
372.0,2,50,6
373.0,2,40,6
374.0,2,40,6
375.0,2,65,6
376.0,2,40,6
377.0,2,40,6
378.0,2,40,6
379.0,2,40,6
380.0,2,50,6
381.0,4,50,6
382.0,2,65,6
383.0,2,50,6
384.0,2,50,6
385.0,2,49,25
386.0,2,49,25
387.0,2,65,25
388.0,2,49,25
389.0,2,49,25
390.0,4,23,21
391.0,0,23,21
392.0,0,18,13
393.0,0,8,13
394.0,4,18,13
395.0,0,18,13
396.0,0,65,13
397.0,0,18,13
398.0,0,18,13
399.0,0,18,13
400.0,0,18,13
401.0,0,18,13
402.0,0,18,13
403.0,0,11,7
404.0,0,10,7
405.0,4,10,7
406.0,0,10,7
407.0,0,11,7
408.0,0,11,7
409.0,0,10,7
410.0,0,12,7
411.0,0,12,7
412.0,4,13,7
413.0,0,14,7
414.0,3,35,18
415.0,3,65,18
416.0,4,54,18
417.0,3,43,18
418.0,3,43,18
419.0,3,43,18
420.0,3,44,18
421.0,3,45,18
422.0,3,45,18
423.0,3,45,18
424.0,3,58,18
425.0,4,22,28
426.0,0,22,28
427.0,0,65,28
428.0,0,22,28
429.0,0,22,28
430.0,0,22,28
431.0,0,24,28
432.0,0,22,28
433.0,0,22,28
434.0,4,22,28
435.0,0,24,28
436.0,3,31,19
437.0,3,33,19
438.0,3,33,19
439.0,3,33,19
440.0,4,33,19
441.0,3,65,19
442.0,3,33,19
443.0,3,33,19
444.0,3,33,19
445.0,3,60,15
446.0,4,31,15
447.0,3,60,15
448.0,3,65,15
449.0,3,60,15
450.0,3,65,15
