SNO,Mat Code,Heat No,Wagon No
149,4.7131E+14,23F01058,SER55070161847  
150,4.7131E+14,,SER55070161847  
151,4.7131E+14,23F01058,SER55070161847  
152,4.7131E+14,23F01059,SER55070161847  
153,4.7131E+14,23F01059,SER55070161847  
154,4.511E+14,23E00994,SER55070063691  
155,4.511E+14,,SER55070063691  
156,4.511E+14,,SER55070063691  
157,4.511E+14,,SER55070063691  
158,4.511E+14,23E00994,SER55070063691  
159,,23E00994,SER55070063691  
160,4.511E+14,23E00994,SER55070063691  
161,4.511E+14,23E00994,SER55070063691  
162,4.511E+14,,SER55070063691  
163,4.511E+14,23E00994,SER55070063691  
164,4.511E+14,23E00994,SER55070063691  
165,4.511E+14,23E00994,SER55070063691  
166,1.512E+14,2303258,SR94061711098   
167,1.512E+14,,SR94061711098   
168,1.512E+14,2303258,SR94061711098   
169,1.512E+14,2303282,SR94061711098   
170,1.512E+14,,SR94061711098   
171,1.512E+14,2303282,SR94061711098   
172,,2303309,SR94061711098   
173,1.512E+14,2303309,SR94061711098   
174,1.512E+14,2303312,SR94061711098   
175,1.512E+14,2303309,SR94061711098   
176,1.512E+14,2303309,SR94061711098   
177,1.71408E+14,2302804,WCR94161351484  
178,1.71408E+14,2302804,WCR94161351484  
179,1.71408E+14,2302808,WCR94161351484  
180,1.71408E+14,2302804,WCR94161351484  
181,1.71408E+14,,WCR94161351484  
182,1.71408E+14,2302804,WCR94161351484  
183,1.71408E+14,2302804,WCR94161351484  
184,4.511E+14,23E00996,SER94071359136  
185,4.511E+14,23E00996,SER94071359136  
186,4.511E+14,,SER94071359136  
187,,23E00996,SER94071359136  
188,4.511E+14,23D00971,SER94071359136  
189,4.7131E+14,23D00920,ER55020160470   
190,4.7131E+14,23D00888,ER55020160470   
191,4.7131E+14,23D00888,ER55020160470   
192,4.7131E+14,23D00888,ER55020160470   
193,4.7131E+14,23D00920,ER55020160470   
194,4.7131E+14,23D00888,ER55020160470   
195,,23D00888,ER55020160470   
196,4.7131E+14,23D00920,ER55020160470   
197,4.7131E+14,23D00920,ER55020160470   
198,,23D00968,NCR94131363325  
199,4.511E+14,,NCR94131363325  
200,4.511E+14,23D00968,NCR94131363325  
201,4.511E+14,23E00924,NCR94131363325  
202,4.511E+14,23D00968,NCR94131363325  
203,4.511E+14,23E00923,NCR94131363325  
204,4.511E+14,23D00968,NCR94131363325  
205,4.511E+14,23D00968,NCR94131363325  
206,,,NCR94131363325  
207,4.511E+14,23D00968,NCR94131363325  
208,4.511E+14,23D00968,NCR94131363325  
209,4.511E+14,23D00968,NCR94131363325  
210,4.511E+14,23E00923,NCR94131363325  
211,4.511E+14,23D00968,NCR94131363325  
212,4.511E+14,23E00923,NCR94131363325  
213,,23E00923,NCR94131363325  
214,4.511E+14,23E00996,NR94031810400   
215,4.511E+14,23E00996,NR94031810400   
216,4.511E+14,23E00996,NR94031810400   
217,4.511E+14,,NR94031810400   
218,,23E00996,NR94031810400   
219,4.511E+14,,NR94031810400   
220,4.511E+14,23E00996,NR94031810400   
221,4.511E+14,,NR94031810400   
222,4.511E+14,23E00996,NR94031810400   
223,4.511E+14,23E00996,NR94031810400   
224,4.511E+14,23E00996,NR94031810400   
225,4.511E+14,23E00996,NR94031810400   
226,4.511E+14,23E00996,NR94031810400   
227,4.511E+14,23E00996,NR94031810400   
228,,,NR94031810400   
229,4.511E+14,23E00996,NR94031810400   
230,4.511E+14,23F00879,SECR57140324077 
231,,23E00947,SECR57140324077 
232,4.511E+14,23E00947,SECR57140324077 
233,4.511E+14,23F01070,SECR57140324077 
234,4.511E+14,23E00947,SECR57140324077 
235,4.511E+14,23F01070,SECR57140324077 
236,4.511E+14,23E00947,SECR57140324077 
237,4.511E+14,23E00947,SECR57140324077 
238,4.511E+14,23F01070,SECR57140324077 
239,4.511E+14,23F01070,SECR57140324077 
240,4.511E+14,23E00947,SECR57140324077 
241,4.511E+14,23F01070,SECR57140324077 
242,,23E00947,SECR57140324077 
243,4.511E+14,23F01070,SECR57140324077 
244,4.511E+14,23E00947,SECR57140324077 
245,4.511E+14,23F01070,SECR57140324077 
246,1.512E+14,2303291,SECR94141217724 
247,1.512E+14,2303291,SECR94141217724 
248,,2303283,SECR94141217724 
249,1.512E+14,2303247,SECR94141217724 
250,1.512E+14,2303291,SECR94141217724 
251,1.512E+14,2303291,SECR94141217724 
252,1.512E+14,2303289,SECR94141217724 
253,1.512E+14,2303289,SECR94141217724 
254,1.512E+14,2303289,SECR94141217724 
255,4.511E+14,23E00996,SER94071359136  
256,4.511E+14,23E00996,SER94071359136  
257,4.511E+14,23D00971,SER94071359136  
258,4.511E+14,23D00971,SER94071359136  
259,4.511E+14,23E00996,SER94071359136  
260,4.511E+14,,SER94071359136  
261,4.511E+14,23E00996,SER94071359136  
262,4.511E+14,23E00996,SER94071359136  
263,,23D00971,SER94071359136  
264,4.511E+14,23D00971,SER94071359136  
265,4.511E+14,23D00971,SER94071359136  
266,1.512E+14,2303249,SECR94141218226 
267,1.512E+14,2303249,SECR94141218226 
268,1.512E+14,2303249,SECR94141218226 
269,1.512E+14,2303249,SECR94141218226 
270,,2303249,SECR94141218226 
271,1.512E+14,,SECR94141218226 
272,1.512E+14,2303249,SECR94141218226 
273,1.512E+14,2303249,SECR94141218226 
